Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/b/bushjo01.shtml"">B. Bush</a>",PHA,21,80,74,6,14,1,21,8,2,0,25,.189,.211,.284,.494,.237,0.00
"<a href=""https://www.baseball-reference.com/players/b/butlear01.shtml"">Art Butler</a>",SLN,26,329,274,29,55,1,76,24,39,14,23,.201,.311,.277,.589,.297,0.98
"<a href=""https://www.baseball-reference.com/players/b/byrnebo01.shtml"">Bobby Byrne</a>",PHI,29,524,467,61,127,0,141,26,45,9,44,.272,.339,.302,.640,.316,0.00
"<a href=""https://www.baseball-reference.com/players/c/cadyhi01.shtml"">Hick Cady</a>",BOS,28,175,159,14,41,0,49,8,12,2,22,.258,.310,.308,.618,.302,1.05
"<a href=""https://www.baseball-reference.com/players/c/caldwra02.shtml"">Ray Caldwell</a>",NYA,26,126,113,9,22,0,26,10,7,2,24,.195,.248,.230,.478,.238,0.01
"<a href=""https://www.baseball-reference.com/players/c/camniho01.shtml"">H. Camnitz</a>",PTF,32,98,87,5,14,0,15,2,2,0,25,.161,.189,.172,.361,.179,-0.32
"<a href=""https://www.baseball-reference.com/players/c/campbvi01.shtml"">Vin Campbell</a>",IND,26,597,544,92,173,7,239,44,37,26,47,.318,.368,.439,.807,.386,1.01
"<a href=""https://www.baseball-reference.com/players/c/careyma01.shtml"">Max Carey</a>",PIT,24,664,593,76,144,1,206,31,59,38,56,.243,.313,.347,.661,.320,0.00
"<a href=""https://www.baseball-reference.com/players/c/carisfr01.shtml"">Fred Carisch</a>",CLE,32,117,102,8,22,0,29,5,12,2,18,.216,.298,.284,.583,.289,0.03
"<a href=""https://www.baseball-reference.com/players/c/carrch01.shtml"">Charlie Carr</a>",IND,37,483,441,44,129,3,169,69,26,19,47,.293,.333,.383,.717,.344,-0.48
"<a href=""https://www.baseball-reference.com/players/c/carribi02.shtml"">B. Carrigan</a>",BOS,30,230,178,18,45,1,55,22,40,1,18,.253,.395,.309,.704,.357,2.72
"<a href=""https://www.baseball-reference.com/players/c/cartepa01.shtml"">Paul Carter</a>",CLE,20,7,7,0,0,0,0,0,0,0,4,.000,.000,.000,.000,.000,-0.13
"<a href=""https://www.baseball-reference.com/players/c/cashica01.shtml"">Carl Cashion</a>",WS1,25,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/c/cathete01.shtml"">Ted Cather</a>",2,25,266,244,30,70,0,92,40,10,11,43,.287,.320,.377,.697,.322,-0.03
"<a href=""https://www.baseball-reference.com/players/c/cavetpu01.shtml"">Pug Cavet</a>",DET,24,52,47,3,5,0,6,2,2,0,22,.106,.160,.128,.288,.149,-0.29
"<a href=""https://www.baseball-reference.com/players/c/chadbch01.shtml"">C. Chadbourne</a>",KCF,29,664,581,92,161,1,202,37,69,42,49,.277,.359,.348,.706,.346,1.15
"<a href=""https://www.baseball-reference.com/players/c/chalmge01.shtml"">G. Chalmers</a>",PHI,26,6,6,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-0.11
"<a href=""https://www.baseball-reference.com/players/c/chanees01.shtml"">Esty Chaney</a>",BRF,23,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.02
