Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/b/blairpa01.shtml"">Paul Blair</a>",NYA,36,2,2,2,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-0.04
"<a href=""https://www.baseball-reference.com/players/b/blankla01.shtml"">L. Blanks</a>",ATL,30,243,221,23,45,2,57,12,16,1,27,.204,.255,.258,.513,.237,0.61
"<a href=""https://www.baseball-reference.com/players/b/bluevi01.shtml"">Vida Blue</a>",SFN,30,79,68,3,5,0,6,1,3,0,34,.074,.111,.088,.199,.098,-0.39
"<a href=""https://www.baseball-reference.com/players/b/blylebe01.shtml"">B. Blyleven</a>",PIT,29,71,61,0,5,0,6,2,0,0,27,.082,.097,.098,.195,.092,-0.70
"<a href=""https://www.baseball-reference.com/players/b/bochtbr01.shtml"">Bruce Bochte</a>",SEA,29,603,520,62,156,13,237,78,72,2,81,.300,.381,.456,.836,.368,2.80
"<a href=""https://www.baseball-reference.com/players/b/bochybr01.shtml"">Bruce Bochy</a>",HOU,25,28,22,0,4,0,5,0,5,0,7,.182,.357,.227,.584,.281,-0.04
"<a href=""https://www.baseball-reference.com/players/b/boggsto01.shtml"">Tommy Boggs</a>",ATL,24,70,63,2,10,0,10,2,0,0,22,.159,.156,.159,.315,.142,-0.37
"<a href=""https://www.baseball-reference.com/players/b/bombama01.shtml"">Mark Bomback</a>",NYN,27,53,43,5,10,0,13,5,3,0,15,.233,.312,.302,.615,.289,0.52
"<a href=""https://www.baseball-reference.com/players/b/bondsbo01.shtml"">Bobby Bonds</a>",SLN,34,270,231,37,47,5,73,24,33,15,74,.203,.305,.316,.621,.285,-0.44
"<a href=""https://www.baseball-reference.com/players/b/bonhabi01.shtml"">Bill Bonham</a>",CIN,31,7,6,1,0,0,0,0,1,0,1,.000,.143,.000,.143,.101,0.03
"<a href=""https://www.baseball-reference.com/players/b/bonneba01.shtml"">B. Bonnell</a>",TOR,26,509,463,55,124,13,193,56,37,3,59,.268,.322,.417,.739,.330,1.24
"<a href=""https://www.baseball-reference.com/players/b/bonnebo01.shtml"">Bobby Bonner</a>",BAL,23,4,4,1,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-0.08
"<a href=""https://www.baseball-reference.com/players/b/boonebo01.shtml"">Bob Boone</a>",PHI,32,535,480,34,110,9,162,55,48,3,41,.229,.299,.338,.637,.283,0.32
"<a href=""https://www.baseball-reference.com/players/b/borbope01.shtml"">Pedro Borbon</a>",SLN,33,4,4,0,1,0,1,1,0,0,2,.250,.250,.250,.500,.227,0.03
"<a href=""https://www.baseball-reference.com/players/b/bordlbi01.shtml"">Bill Bordley</a>",SFN,22,9,6,0,1,0,1,0,1,0,1,.167,.286,.167,.452,.231,0.03
"<a href=""https://www.baseball-reference.com/players/b/borgmgl01.shtml"">G. Borgmann</a>",CHA,30,103,87,10,19,2,27,14,14,0,9,.218,.320,.310,.631,.295,0.60
"<a href=""https://www.baseball-reference.com/players/b/bosetri01.shtml"">Rick Bosetti</a>",TOR,26,207,188,24,40,4,61,18,15,4,29,.213,.277,.324,.601,.274,0.00
"<a href=""https://www.baseball-reference.com/players/b/bosleth01.shtml"">Thad Bosley</a>",CHA,23,162,147,12,33,2,41,14,10,3,27,.224,.272,.279,.551,.246,0.00
"<a href=""https://www.baseball-reference.com/players/b/bourjch01.shtml"">C. Bourjos</a>",SFN,25,24,22,4,5,1,9,2,2,0,7,.227,.292,.409,.701,.316,0.15
"<a href=""https://www.baseball-reference.com/players/b/bowala01.shtml"">Larry Bowa</a>",PHI,34,577,540,57,144,2,174,39,24,21,28,.267,.300,.322,.622,.279,0.67
"<a href=""https://www.baseball-reference.com/players/b/bowensa02.shtml"">Sam Bowen</a>",BOS,27,15,13,0,2,0,2,0,2,1,3,.154,.267,.154,.421,.216,0.00
"<a href=""https://www.baseball-reference.com/players/b/bradfla01.shtml"">L. Bradford</a>",ATL,30,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.07
"<a href=""https://www.baseball-reference.com/players/b/brantma01.shtml"">M. Brant</a>",NYA,24,6,6,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-0.17
"<a href=""https://www.baseball-reference.com/players/b/braunst01.shtml"">Steve Braun</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebraunst01"" style=""display:none;""></input><label for=""footnotebraunst01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbraunst01"">KCA, TOR</div></span>",32,88,78,4,16,1,21,10,10,0,7,.205,.295,.269,.565,.263,-0.69
"<a href=""https://www.baseball-reference.com/players/b/brettge01.shtml"">George Brett</a>",KCA,27,515,449,87,175,24,298,118,58,15,22,.390,.454,.664,1.118,.478,9.41
"<a href=""https://www.baseball-reference.com/players/b/brohaja01.shtml"">J. Brohamer</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebrohaja01"" style=""display:none;""></input><label for=""footnotebrohaja01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbrohaja01"">BOS, CLE</div></span>",30,223,199,18,50,2,65,21,18,0,9,.251,.311,.327,.637,.281,-0.40
"<a href=""https://www.baseball-reference.com/players/b/brookhu01.shtml"">Hubie Brooks</a>",NYN,23,89,81,8,25,1,32,10,5,1,9,.309,.364,.395,.759,.347,0.44
"<a href=""https://www.baseball-reference.com/players/b/brookto01.shtml"">Tom Brookens</a>",DET,26,551,509,64,140,10,213,66,32,13,71,.275,.315,.418,.734,.325,2.52
"<a href=""https://www.baseball-reference.com/players/b/brouhma01.shtml"">M. Brouhard</a>",ML4,24,133,125,17,29,5,50,16,7,1,24,.232,.278,.400,.678,.305,0.06
"<a href=""https://www.baseball-reference.com/players/b/brownbo04.shtml"">Bobby Brown</a>",NYA,26,446,412,65,107,14,171,47,29,27,82,.260,.306,.415,.721,.319,1.43
"<a href=""https://www.baseball-reference.com/players/b/brusswa01.shtml"">W. Brusstar</a>",PHI,28,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/bucknbi01.shtml"">Bill Buckner</a>",CHN,30,614,578,69,187,10,264,68,30,1,18,.324,.353,.457,.810,.355,0.00
"<a href=""https://www.baseball-reference.com/players/b/bumbral01.shtml"">Al Bumbry</a>",BAL,33,738,645,118,205,9,279,53,78,44,75,.318,.392,.433,.825,.371,6.07
"<a href=""https://www.baseball-reference.com/players/b/burleri01.shtml"">R. Burleson</a>",BOS,29,718,644,89,179,8,236,51,62,12,51,.278,.341,.366,.708,.324,2.44
"<a href=""https://www.baseball-reference.com/players/b/burnssh01.shtml"">S. Burnside</a>",CIN,25,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.02
"<a href=""https://www.baseball-reference.com/players/b/burrira01.shtml"">Ray Burris</a>",NYN,29,56,51,1,5,0,5,0,2,0,18,.098,.132,.098,.230,.112,-0.36
"<a href=""https://www.baseball-reference.com/players/b/burroje01.shtml"">J. Burroughs</a>",ATL,29,318,278,35,73,13,126,51,35,1,57,.263,.347,.453,.800,.353,0.74
"<a href=""https://www.baseball-reference.com/players/b/butersa01.shtml"">Sal Butera</a>",MIN,27,91,85,4,23,0,24,2,3,0,6,.271,.300,.282,.582,.268,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bystrma01.shtml"">M. Bystrom</a>",PHI,21,15,14,1,1,0,1,1,1,0,9,.071,.133,.071,.205,.108,-0.10
"<a href=""https://www.baseball-reference.com/players/c/cabelen01.shtml"">Enos Cabell</a>",HOU,30,637,604,69,167,2,212,55,26,21,84,.276,.305,.351,.656,.292,-0.13
"<a href=""https://www.baseball-reference.com/players/c/campabe01.shtml"">B. Campaneris</a>",CAL,38,234,210,32,53,2,69,18,14,10,33,.252,.300,.329,.628,.287,-0.11
"<a href=""https://www.baseball-reference.com/players/c/campri01.shtml"">Rick Camp</a>",ATL,27,9,9,0,1,0,2,0,0,0,6,.111,.111,.222,.333,.144,-0.05
"<a href=""https://www.baseball-reference.com/players/c/candejo01.shtml"">J. Candelaria</a>",PIT,26,85,77,5,15,0,18,7,4,0,14,.195,.232,.234,.465,.215,0.00
"<a href=""https://www.baseball-reference.com/players/c/cannojo01.shtml"">Joe Cannon</a>",TOR,26,51,50,16,4,0,4,4,0,2,14,.080,.098,.080,.178,.086,-1.17
"<a href=""https://www.baseball-reference.com/players/c/capildo01.shtml"">Doug Capilla</a>",CHN,28,22,21,1,4,0,6,1,0,0,9,.190,.190,.286,.476,.208,0.02
"<a href=""https://www.baseball-reference.com/players/c/carbobe01.shtml"">Bernie Carbo</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecarbobe01"" style=""display:none;""></input><label for=""footnotecarbobe01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcarbobe01"">SLN, PIT</div></span>",32,20,17,0,4,0,4,1,2,0,1,.235,.316,.235,.551,.266,-0.10
"<a href=""https://www.baseball-reference.com/players/c/cardejo02.shtml"">J. Cardenal</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotecardejo02"" style=""display:none;""></input><label for=""footnotecardejo02"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivcardejo02"">NYN, KCA</div></span>",36,110,95,12,25,0,28,9,11,0,9,.263,.327,.295,.622,.284,-0.15
"<a href=""https://www.baseball-reference.com/players/c/carewro01.shtml"">Rod Carew</a>",CAL,34,612,540,74,179,3,236,59,59,23,38,.331,.396,.437,.833,.373,3.44
"<a href=""https://www.baseball-reference.com/players/c/carltst01.shtml"">S. Carlton</a>",PHI,35,111,101,7,19,0,20,6,1,0,21,.188,.190,.198,.388,.175,-0.08
"<a href=""https://www.baseball-reference.com/players/c/cartega01.shtml"">Gary Carter</a>",MON,26,617,549,76,145,29,267,101,58,3,78,.264,.331,.486,.818,.355,6.50
"<a href=""https://www.baseball-reference.com/players/c/cashda01.shtml"">Dave Cash</a>",SDN,32,437,397,25,90,1,111,23,35,6,21,.227,.287,.280,.567,.259,-0.55
"<a href=""https://www.baseball-reference.com/players/c/castibo01.shtml"">B. Castillo</a>",LAN,25,10,9,0,1,0,1,0,0,0,4,.111,.111,.111,.222,.101,0.06
"<a href=""https://www.baseball-reference.com/players/c/castijo01.shtml"">John Castino</a>",MIN,25,599,546,67,165,13,235,64,29,7,67,.302,.336,.430,.766,.342,4.49
"<a href=""https://www.baseball-reference.com/players/c/castima01.shtml"">M. Castillo</a>",KCA,23,10,10,1,2,0,2,0,0,0,0,.200,.200,.200,.400,.182,0.11
