Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/b/bentola01.shtml"">Larry Benton</a>",NY1,30,310&‌#8531;,25,9,4,299,106,94,14,71,90,2.726,3.627,1.192,1.27,.00
"<a href=""https://www.baseball-reference.com/players/b/billijo02.shtml"">Josh Billings</a>",DET,20,110&‌#8532;,5,10,0,118,83,63,4,59,48,5.123,3.944,1.599,.81,-1.09
"<a href=""https://www.baseball-reference.com/players/b/blaehge01.shtml"">George Blaeholder</a>",SLA,24,214&‌#8531;,10,15,3,235,123,104,23,52,87,4.367,4.143,1.339,1.67,.00
"<a href=""https://www.baseball-reference.com/players/b/blakesh01.shtml"">Sheriff Blake</a>",CHN,28,240&‌#8532;,17,11,1,209,80,66,4,101,78,2.468,3.749,1.288,.77,5.54
"<a href=""https://www.baseball-reference.com/players/b/blankho01.shtml"">Homer Blankenship</a>",PIT,25,21&‌#8532;,0,2,0,27,15,14,1,9,6,5.815,4.170,1.662,.67,-.18
"<a href=""https://www.baseball-reference.com/players/b/blankte01.shtml"">Ted Blankenship</a>",CHA,27,158,9,11,0,186,92,81,9,80,36,4.614,4.615,1.684,.45,.72
"<a href=""https://www.baseball-reference.com/players/b/boggsra01.shtml"">Ray Boggs</a>",BSN,23,5,0,0,0,2,3,3,0,7,0,5.400,6.673,1.800,.00,.00
"<a href=""https://www.baseball-reference.com/players/b/bradlhe01.shtml"">Herb Bradley</a>",BOS,25,47&‌#8531;,0,3,0,64,41,38,2,16,14,7.225,3.718,1.690,.88,-.91
"<a href=""https://www.baseball-reference.com/players/b/brameer01.shtml"">Erv Brame</a>",PIT,26,95&‌#8532;,7,4,0,110,62,54,5,44,22,5.080,4.457,1.610,.50,-.41
"<a href=""https://www.baseball-reference.com/players/b/branded01.shtml"">Ed Brandt</a>",BSN,23,225&‌#8531;,9,21,0,234,141,127,22,109,84,5.072,4.840,1.522,.77,-.21
"<a href=""https://www.baseball-reference.com/players/b/braxtga01.shtml"">Garland Braxton</a>",WS1,28,218&‌#8531;,13,11,6,177,78,61,7,44,94,2.515,2.994,1.012,2.14,.00
"<a href=""https://www.baseball-reference.com/players/b/browncl01.shtml"">Clint Brown</a>",CLE,24,11,0,1,0,14,6,6,0,2,2,4.909,3.072,1.455,1.00,.03
"<a href=""https://www.baseball-reference.com/players/b/brownju01.shtml"">Jumbo Brown</a>",CLE,21,14&‌#8532;,0,1,0,19,15,11,0,15,12,6.750,4.323,2.318,.80,-.59
"<a href=""https://www.baseball-reference.com/players/b/brownll01.shtml"">Lloyd Brown</a>",WS1,23,107,4,4,1,112,62,48,7,40,38,4.037,4.100,1.421,.95,.00
"<a href=""https://www.baseball-reference.com/players/b/buckega01.shtml"">Garland Buckeye</a>",2,30,38&‌#8532;,1,5,0,67,38,32,3,7,9,7.448,3.722,1.914,1.29,-.92
"<a href=""https://www.baseball-reference.com/players/b/burkebo01.shtml"">Bobby Burke</a>",WS1,21,85&‌#8531;,2,4,0,87,44,37,1,18,27,3.902,2.984,1.230,1.50,.59
"<a href=""https://www.baseball-reference.com/players/b/burwebi01.shtml"">Bill Burwell</a>",PIT,33,20&‌#8532;,1,0,0,18,12,12,2,8,2,5.226,5.319,1.258,.25,-.01
"<a href=""https://www.baseball-reference.com/players/b/bushgu01.shtml"">Guy Bush</a>",CHN,26,204&‌#8531;,15,6,2,229,104,87,10,86,61,3.832,4.155,1.542,.71,.00
"<a href=""https://www.baseball-reference.com/players/b/bushjo01.shtml"">Bullet Joe Bush</a>",PHA,35,35&‌#8531;,2,1,1,39,21,20,1,18,15,5.094,3.824,1.613,.83,.03
"<a href=""https://www.baseball-reference.com/players/c/caldwea01.shtml"">Earl Caldwell</a>",PHI,23,34&‌#8532;,1,4,0,46,23,22,5,17,6,5.712,6.068,1.817,.35,.00
"<a href=""https://www.baseball-reference.com/players/c/campbar01.shtml"">Archie Campbell</a>",NYA,24,24,0,1,2,30,22,14,0,11,9,5.250,3.447,1.708,.82,-.51
"<a href=""https://www.baseball-reference.com/players/c/cantwbe01.shtml"">Ben Cantwell</a>",2,26,108&‌#8531;,4,3,1,132,73,60,8,40,18,4.985,4.535,1.588,.45,.00
