cx,cy,nameascii,adm0name,adm0_a3
45.0256,233.4803,Avarua,Cook Islands,COK
128.9642,104.1721,Santa Cruz,United States of America,USA
670.5474,133.045,Hualien,Taiwan,TWN
670.2472,130.7574,New Taipei,Taiwan,TWN
667.4352,135.2318,Tainan,Taiwan,TWN
669.5248,135.7756,Taitung,Taiwan,TWN
790.6057,276.0653,Palmerston North,New Zealand,NZL
789.3433,275.1315,Wanganui,New Zealand,NZL
793.3391,274.477,Hastings,New Zealand,NZL
795.9651,272.3098,Gisborne,New Zealand,NZL
792.0308,271.1281,Rotorua,New Zealand,NZL
791.6502,272.3758,Taupo,New Zealand,NZL
791.8204,270.1604,Tauranga,New Zealand,NZL
780.9029,285.0561,Timaru,New Zealand,NZL
785.36,278.1547,Nelson,New Zealand,NZL
787.7508,265.7792,Whangarei,New Zealand,NZL
775.3067,286.4467,Queenstown,New Zealand,NZL
774.5063,289.5295,Invercargill,New Zealand,NZL
139.4666,110.5068,San Bernardino,United States of America,USA
237.5014,94.8133,Bridgeport,United States of America,USA
227.6757,90.3885,Rochester,United States of America,USA
395.2281,67.4249,Manchester,United Kingdom,GBR
565.1392,114.8638,Gujranwala,Pakistan,PAK
681.7519,103.0469,Incheon,South Korea,KOR
412.7187,172.2617,Benin City,Nigeria,NGA
662.7181,132.0042,Xiamen,China,CHN
636.1531,117.9315,Nanchong,China,CHN
633.7523,120.5993,Neijiang,China,CHN
650.3804,112.9965,Nanyang,China,CHN
668.8312,95.7684,Jinxi,China,CHN
670.0985,102.9263,Yantai,China,CHN
661.5843,108.8182,Zaozhuang,China,CHN
668.3645,116.7755,Suzhou,China,CHN
660.7174,110.152,Xuzhou,China,CHN
667.6531,116.1541,Wuxi,China,CHN
681.547,88.8779,Jilin,China,CHN
570.9079,118.0659,Chandigarh,India,IND
566.6102,113.6381,Jammu,India,IND
568.9516,147.0752,Sholapur,India,IND
567.6629,142.1284,Aurangabad,India,IND
564.2388,141.8956,Nasik,India,IND
604.2276,128.24259999999998,Dispur,India,IND
568.2158,116.6989,Jullundur,India,IND
582.1563,129.76999999999998,Allahabad,India,IND
575.3023,122.2412,Moradabad,India,IND
572.3048,122.6444,Ghaziabad,India,IND
573.6533,125.9566,Agra,India,IND
573.7573,124.3521,Aligarh,India,IND
572.953,121.8885,Meerut,India,IND
592.3376,133.4482,Dhanbad,India,IND
574.0202,128.0472,Gwalior,India,IND
562.9051,136.7613,Vadodara,India,IND
557.6143,136.7613,Rajkot,India,IND
274.6075,260.6317,Durazno,Uruguay,URY
192.5768,78.3203,International Falls,United States of America,USA
193.3012,86.4502,St. Paul,United States of America,USA
158.9446,84.5733,Billings,United States of America,USA
152.8091,80.7675,Great Falls,United States of America,USA
146.8224,82.1637,Missoula,United States of America,USA
175.0484,79.1398,Minot,United States of America,USA
185.0662,82.1526,Fargo,United States of America,USA
55.4636,142.5678,Hilo,United States of America,USA
127.0235,81.7951,Olympia,United States of America,USA
139.2044,80.3903,Spokane,United States of America,USA
127.6002,84.9245,Vancouver,United States of America,USA
152.0299,108.1154,Flagstaff,United States of America,USA
153.7162,114.7647,Tucson,United States of America,USA
134.0914,109.8118,Santa Barbara,United States of America,USA
133.9736,104.6706,Fresno,United States of America,USA
124.249,95.6574,Eureka,United States of America,USA
167.2764,99.9684,Colorado Springs,United States of America,USA
133.869,98.4856,Reno,United States of America,USA
142.89,95.59,Elko,United States of America,USA
163.1653,108.3224,Albuquerque,United States of America,USA
126.7468,86.4856,Salem,United States of America,USA
163.8964,91.0682,Casper,United States of America,USA
187.5547,99.5526,Topeka,United States of America,USA
189.9199,99.4213,Kansas City,United States of America,USA
186.9766,106.066,Tulsa,United States of America,USA
185.1983,89.5491,Sioux Falls,United States of America,USA
191.7783,114.1132,Shreveport,United States of America,USA
197.6245,118.6528,Baton Rouge,United States of America,USA
183.8422,113.5798,Ft. Worth,United States of America,USA
183.7047,124.6885,Corpus Christi,United States of America,USA
182.9425,119.073,Austin,United States of America,USA
173.861,108.0445,Amarillo,United States of America,USA
163.453,115.7095,El Paso,United States of America,USA
179.0245,125.2147,Laredo,United States of America,USA
242.1072,167.6877,Merida,Venezuela,VEN
237.4779,87.491,Burlington,United States of America,USA
208.4305,114.4209,Montgomery,United States of America,USA
212.8746,118.6705,Tallahassee,United States of America,USA
219.317,122.9788,Orlando,United States of America,USA
218.6725,118.9328,Jacksonville,United States of America,USA
219.9217,115.1778,Savannah,United States of America,USA
220.3885,110.6899,Columbia,United States of America,USA
208.6688,97.9922,Indianapolis,United States of America,USA
226.9574,110.2774,Wilmington,United States of America,USA
213.6749,106.3994,Knoxville,United States of America,USA
228.0536,102.8827,Richmond,United States of America,USA
218.7596,101.1093,Charleston,United States of America,USA
229.8987,98.9925,Baltimore,United States of America,USA
230.9477,90.6606,Syracuse,United States of America,USA
249.902,173.7701,Puerto Ayacucho,Venezuela,VEN
263.477,162.6815,Port-of-Spain,Trinidad and Tobago,TTO
245.1083,87.8583,Augusta,United States of America,USA
212.7296,83.0017,Sault Ste. Marie,United States of America,USA
402.7195,169.6216,Atakpame,Togo,TGO
423.8492,106.7107,Sousse,Tunisia,TUN
498.1253,156.1139,Taizz,Yemen,YEM
99.3957,59.5153,Sitka,United States of America,USA
453.6486,75.5775,Lvov,Ukraine,UKR
468.4939,83.009,Odessa,Ukraine,UKR
463.9459,74.6647,Zhytomyr,Ukraine,UKR
478.0307,78.5853,Dnipro,Ukraine,UKR
484.3217,79.6523,Donetsk,Ukraine,UKR
480.8094,75.2064,Kharkiv,Ukraine,UKR
517.9817,97.3895,Turkmenbasy,Turkmenistan,TKM
543.4581,97.9297,Bukhara,Uzbekistan,UZB
532.7543,91.9499,Nukus,Uzbekistan,UZB
541.5686,99.4192,Turkmenabat,Turkmenistan,TKM
537.6856,102.7759,Mary,Turkmenistan,TKM
561.0419,95.6845,Andijon,Uzbekistan,UZB
637.376,140.0514,Haiphong,Vietnam,VNM
640.8701,150.6594,Da Nang,Vietnam,VNM
463.4742,218.4612,Kabwe,Zambia,ZMB
463.0518,214.2597,Mufulira,Zambia,ZMB
462.963,214.8378,Kitwe,Zambia,ZMB
457.7167,226.0639,Livingstone,Zambia,ZMB
469.3652,226.3751,Chitungwiza,Zimbabwe,ZWE
421.8108,177.3303,Douala,Cameroon,CMR
395.9572,69.7044,Birmingham,United Kingdom,GBR
386.9805,64.9848,Belfast,United Kingdom,GBR
460.584,100.9128,Izmir,Turkey,TUR
464.8482,96.9918,Bursa,Turkey,TUR
481.0219,94.5953,Samsun,Turkey,TUR
472.4176,102.1602,Konya,Turkey,TUR
478.742,104.1165,Adana,Turkey,TUR
471.9885,180.181,Gulu,Uganda,UGA
467.0502,190.6995,Kigali,Rwanda,RWA
279.6688,177.8024,Cottica,Suriname,SUR
389.626,102.1535,Cordoba,Spain,ESP
416.0051,156.369,Maradi,Niger,NER
411.9226,153.2382,Tahoua,Niger,NER
463.8299,88.0982,Constanta,Romania,ROU
449.4879,40.5392,Lulea,Sweden,SWE
438.7248,47.6452,Sundsvall,Sweden,SWE
461.529,81.5054,Iasi,Romania,ROU
621.0635,166.0202,Surat Thani,Thailand,THA
620.263,144.5685,Chiang Mai,Thailand,THA
627.1987,153.0158,Nakhon Ratchasima,Thailand,THA
469.4393,244.8631,Mbabane,Swaziland,SWZ
220.9888,197.9429,Piura,Peru,PER
241.2137,222.8584,Arequipa,Peru,PER
225.5681,206.5237,Chimbote,Peru,PER
234.5379,204.9651,Pucallpa,Peru,PER
237.3945,194.6973,Iquitos,Peru,PER
233.0596,213.2149,Huancayo,Peru,PER
278.8179,243.0848,Ciudad del Este,Paraguay,PRY
343.1727,102.4463,Ponta Delgada,Portugal,PRT
380.8229,92.5056,Vigo,Spain,ESP
393.7163,90.216,Bilbao,Spain,ESP
364.4393,154.9055,Kaolack,Senegal,SEN
370.2192,150.4594,Kaedi,Senegal,SEN
450.114,156.4615,Geneina,Sudan,SDN
488.212,131.893,Medina,Saudi Arabia,SAU
481.4917,123.2635,Tabuk,Saudi Arabia,SAU
470.4323,175.6239,Juba,South Sudan,SSD
470.6012,165.1604,Malakal,South Sudan,SSD
472.433,151.645,Omdurman,Sudan,SDN
467.4016,157.0544,El Obeid,Sudan,SDN
409.7219,70.5867,The Hague,Netherlands,NLD
418.0138,57.0561,Kristiansand,Norway,NOR
432.4966,83.9798,Ljubljana,Slovenia,SVN
438.2809,79.3232,Bratislava,Slovakia,SVK
452.8883,29.2805,Hammerfest,Norway,NOR
514.7879,130.1488,Doha,Qatar,QAT
549.2224,119.1774,Quetta,Pakistan,PAK
551.8539,125.091,Larkana,Pakistan,PAK
439.9844,252.3103,Springbok,South Africa,ZAF
447.4242,249.6278,Upington,South Africa,ZAF
443.4448,261.143,Worcester,South Africa,ZAF
450.1363,261.8321,George,South Africa,ZAF
474.8783,222.3071,Tete,Mozambique,MOZ
490.3334,215.2224,Pemba,Mozambique,MOZ
487.5784,220.0085,Nampula,Mozambique,MOZ
459.6507,248.5384,Welkom,South Africa,ZAF
475.0117,242.025,Xai-Xai,Mozambique,MOZ
723.4226,199.8842,Goroka,Papua New Guinea,PNG
720.8247,199.395,Mt. Hagen,Papua New Guinea,PNG
738.4456,195.7098,Rabaul,Papua New Guinea,PNG
726.9895,201.3285,Lae,Papua New Guinea,PNG
216.9799,167.6136,David,Panama,PAN
395.9838,109.2448,Oujda,Morocco,MAR
379.6892,114.5135,Safi,Morocco,MAR
443.0588,91.9588,Podgorica,Montenegro,MNE
482.2364,226.1084,Quelimane,Mozambique,MOZ
462.185,259.6536,East London,South Africa,ZAF
455.8271,256.38570000000004,Middelburg,South Africa,ZAF
497.1927,89.6644,Naltchik,Russia,RUS
493.5516,86.2145,Stavropol,Russia,RUS
795.258,42.4584,Ugolnye Kopi,Russia,RUS
445.7955,64.7625,Kaliningrad,Russia,RUS
463.2074,57.8045,Pskov,Russia,RUS
476.7678,67.9637,Bryansk,Russia,RUS
471.4712,64.5787,Smolensk,Russia,RUS
476.4344,48.8681,Petrozavodsk,Russia,RUS
480.0134,59.9609,Tver,Russia,RUS
488.9721,54.7368,Vologda,Russia,RUS
488.861,58.2714,Yaroslavl,Russia,RUS
488.5069,81.3537,Rostov,Russia,RUS
488.5497,89.4601,Sochi,Russia,RUS
486.9271,86.2813,Krasnodar,Russia,RUS
500.265,68.1414,Penza,Russia,RUS
488.5275,64.9404,Ryazan,Russia,RUS
487.5229,71.3606,Voronezh,Russia,RUS
531.3427,67.602,Magnitogorsk,Russia,RUS
536.804,63.7467,Chelyabinsk,Russia,RUS
542.5243,36.308,Vorkuta,Russia,RUS
510.6464,56.1149,Kirov,Russia,RUS
533.5545,57.6044,Nizhny Tagil,Russia,RUS
507.0563,83.3276,Astrakhan,Russia,RUS
522.7396,71.2537,Orenburg,Russia,RUS
502.5504,71.694,Saratov,Russia,RUS
507.8455,65.5851,Ulyanovsk,Russia,RUS
563.394,64.1135,Omsk,Russia,RUS
545.9033,59.3383,Tyumen,Russia,RUS
593.8869,66.8743,Novokuznetsk,Russia,RUS
591.6083,63.3399,Kemerovo,Russia,RUS
501.8182,90.0633,Groznyy,Russia,RUS
579.5597,170.1775,Kandy,Sri Lanka,LKA
577.9591,171.0222,Sri Jawewardenepura Kotte,Sri Lanka,LKA
683.4921,105.5825,Daejeon,South Korea,KOR
682.3481,108.1714,Gwangju,South Korea,KOR
687.0156,108.3401,Busan,South Korea,KOR
671.6101,170.9735,Zamboanga,Philippines,PHL
668.3101,145.9048,Laoag,Philippines,PHL
668.2575,149.837,Baguio City,Philippines,PHL
678.494,172.7766,General Santos,Philippines,PHL
628.3843,57.4489,Ust-Ulimsk,Russia,RUS
631.2446,69.5197,Angarsk,Russia,RUS
603.5126,66.9773,Abakan,Russia,RUS
596.3545,32.2177,Norilsk,Russia,RUS
628.0101,26.213,Khatanga,Russia,RUS
610.0439,71.4166,Kyzyl,Russia,RUS
639.4808,71.1537,Ulan Ude,Russia,RUS
683.7372,74.618,Blagoveshchensk,Russia,RUS
660.1362,68.5787,Bukachacha,Russia,RUS
701.4855,87.3545,Dalnegorsk,Russia,RUS
761.0984,31.5263,Ambarchik,Russia,RUS
699.5243,35.9613,Batagay,Russia,RUS
729.0004,29.376,Chokurdakh,Russia,RUS
718.5642,42.829,Ust Nera,Russia,RUS
655.7577,51.3683,Lensk,Russia,RUS
678.9712,56.0861,Aldan,Russia,RUS
653.5666,47.3341,Mirnyy,Russia,RUS
674.4845,37.9315,Zhigansk,Russia,RUS
718.6021,54.3522,Okhotsk,Russia,RUS
700.6024,78.6452,Khabarovsk,Russia,RUS
718.0038,67.2658,Okha,Russia,RUS
717.5417,81.9575,Yuzhno Sakhalinsk,Russia,RUS
143.5125,113.7755,Mexicali,Mexico,MEX
