cx,cy,nameascii,adm0name,adm0_a3
236.38165999999998,109.63296923076922,White Sulphur Springs,United States of America,USA
236.301416,106.06738461538461,Clarksburg,United States of America,USA
247.85482399999998,106.36709230769229,Dover,United States of America,USA
244.45952,107.69579999999999,St. Charles,United States of America,USA
245.53131199999999,106.79743076923076,Annapolis,United States of America,USA
242.58356,105.2094,Hagerstown,United States of America,USA
251.107244,102.1491076923077,Paterson,United States of America,USA
252.03150799999997,96.97093846153845,Saratoga Springs,United States of America,USA
251.70405200000002,100.28118461538462,Poughkeepsie,United States of America,USA
252.816668,93.11167692307691,Plattsburg,United States of America,USA
236.34342800000002,102.55133846153845,Beaver Falls,United States of America,USA
240.963776,103.11004615384614,Altoona,United States of America,USA
244.30950800000002,101.3804,Williamsport,United States of America,USA
245.97961999999998,104.26106153846153,Lancaster,United States of America,USA
247.91411599999998,102.91512307692307,Allentown,United States of America,USA
261.969236,93.45424615384614,Waterville,United States of America,USA
267.739352,91.98413846153845,Calais,United States of America,USA
266.30532800000003,89.68695384615384,Houlton,United States of America,USA
221.61482,99.28427692307692,Benton Harbor,United States of America,USA
224.674568,98.79481538461538,Battle Creek,United States of America,USA
227.773628,95.74636923076922,Bay City,United States of America,USA
228.86896399999998,92.2339846153846,Alpena,United States of America,USA
217.749716,90.41247692307691,Iron Mountain,United States of America,USA
212.71918399999998,88.89627692307691,Ironwood,United States of America,USA
43.84887199999997,67.62812307692307,Sand Point,United States of America,USA
110.34404,67.92912307692308,Hydaburg,United States of America,USA
30.181471999999985,55.54095384615384,Mekoryuk,United States of America,USA
51.29493199999999,31.407646153846144,Atqasuk,United States of America,USA
48.33918799999998,63.77532307692307,Port Heiden,United States of America,USA
47.08055599999997,66.24223076923076,Perryville,United States of America,USA
48.691051999999985,58.730046153846146,Dillingham,United States of America,USA
41.23213999999999,58.575723076923076,Goodnews Bay,United States of America,USA
45.185479999999956,54.067507692307686,Nyac,United States of America,USA
32.424199999999985,55.06969230769231,Tununak,United States of America,USA
36.08972,51.47858461538461,Mountain Village,United States of America,USA
34.18351999999999,49.82324615384615,Emmonak,United States of America,USA
48.11109200000001,46.11206153846153,Kaltag,United States of America,USA
29.771288,43.87033846153846,Teller,United States of America,USA
50.562475999999975,44.787984615384616,Koyukuk,United States of America,USA
52.530883999999986,39.93536923076923,Kobuk,United States of America,USA
45.02002400000001,40.66164615384615,Selawik,United States of America,USA
68.78834,50.90824615384615,Talkeetna,United States of America,USA
72.22565599999999,54.594123076923076,Whittier,United States of America,USA
68.87636,51.49258461538461,Montana,United States of America,USA
63.499795999999975,47.175846153846145,Lake Minchumina,United States of America,USA
71.569988,48.351846153846154,Cantwell,United States of America,USA
80.137628,51.033707692307686,Gulkana,United States of America,USA
90.178496,45.00886153846153,Eagle,United States of America,USA
71.2286,45.5456,Nenana,United States of America,USA
79.03332799999998,46.53023076923076,Big Delta,United States of America,USA
62.69962399999997,40.75361538461538,Allakaket,United States of America,USA
64.06020799999999,44.08992307692307,Tanana,United States of America,USA
207.012356,86.33976923076924,Virginia,United States of America,USA
209.166416,94.6548,Winona,United States of America,USA
207.17252000000002,94.72275384615385,Rochester,United States of America,USA
205.31707999999998,93.21915384615383,Lakeville,United States of America,USA
208.71864799999997,85.43784615384615,Ely,United States of America,USA
196.914896,87.89441538461537,Moorhead,United States of America,USA
203.10902,91.03795384615384,St. Cloud,United States of America,USA
175.07243599999998,89.0086,Miles City,United States of America,USA
162.593252,90.75332307692307,Bozeman,United States of America,USA
173.16310399999998,84.75906153846152,Glasgow,United States of America,USA
182.39785999999998,87.87115384615385,Dickinson,United States of America,USA
192.207284,87.8184923076923,Jamestown,United States of America,USA
180.38312,84.82410769230768,Williston,United States of America,USA
46.552651999999995,147.4878923076923,Lihue,United States of America,USA
49.787576,148.6333076923077,Wahiawa,United States of America,USA
53.434195999999986,150.09749230769228,Wailuku,United States of America,USA
161.971172,98.79115384615385,Montpelier,United States of America,USA
154.375748,98.22059999999999,Twin Falls,United States of America,USA
149.06992399999996,95.5872,Caldwell,United States of America,USA
155.733632,91.96087692307692,Salmon,United States of America,USA
148.80845599999998,85.97016923076922,Coeur d'Alene,United States of America,USA
142.77838400000002,89.28892307692307,Richland,United States of America,USA
135.10574,83.37973846153845,Bellingham,United States of America,USA
134.025308,89.6554,Longview,United States of America,USA
145.057292,89.83147692307692,Walla Walla,United States of America,USA
131.91866,87.65361538461538,Aberdeen,United States of America,USA
134.733356,86.22033846153846,Bremerton,United States of America,USA
135.794672,85.29418461538461,Everett,United States of America,USA
154.119032,115.9667846153846,Bullhead City,United States of America,USA
163.412,116.2650923076923,Winslow,United States of America,USA
158.543468,121.22841538461537,Gila Bend,United States of America,USA
164.92432399999998,124.1903846153846,Tombstone,United States of America,USA
165.48970400000002,122.89743076923077,Willcox,United States of America,USA
160.600004,119.45213846153845,Scottsdale,United States of America,USA
155.356172,115.86695384615385,Kingman,United States of America,USA
159.950492,113.79635384615383,Grand Canyon,United States of America,USA
131.26126399999998,102.23235384615384,Arcata,United States of America,USA
137.979944,109.23978461538461,Stockton,United States of America,USA
148.22644400000001,116.5632923076923,Barstow,United States of America,USA
147.582008,117.43118461538461,Victorville,United States of America,USA
145.544696,118.3316,Pasadena,United States of America,USA
142.718552,113.14944615384616,Visalia,United States of America,USA
151.740872,121.60663076923076,El Centro,United States of America,USA
139.49529199999998,115.64359999999999,San Luis Obispo,United States of America,USA
139.919408,110.80907692307692,Merced,United States of America,USA
137.197268,106.40790769230769,Yuba City,United States of America,USA
135.33707599999997,102.94613846153845,Redding,United States of America,USA
134.594144,108.06130769230768,Santa Rosa,United States of America,USA
147.474764,120.58183076923076,Oceanside,United States of America,USA
138.699656,109.96444615384614,Modesto,United States of America,USA
146.28644,119.48067692307691,Irvine,United States of America,USA
133.36769599999997,106.37624615384615,Ukiah,United States of America,USA
154.00898,116.68444615384615,Needles,United States of America,USA
144.932012,110.66218461538462,Bishop,United States of America,USA
149.40007999999997,119.2486,Palm Springs,United States of America,USA
140.028164,116.46486153846153,Santa Maria,United States of America,USA
142.651052,113.43192307692307,Tulare,United States of America,USA
135.531908,101.21455384615383,Mt. Shasta,United States of America,USA
130.991696,100.14656923076923,Crescent City,United States of America,USA
176.947856,103.00924615384615,Fort Collins,United States of America,USA
